Year,Alcohol,Schooling
2000,4.570714285714286,10.51271676300578
2001,4.55565934065934,10.95028901734104
2002,4.6609340659340655,11.140462427745664
2003,4.690494505494505,11.308092485549132
2004,4.753681318681318,11.547398843930637
2005,4.846408839779006,11.675722543352602
2006,4.917692307692308,11.91791907514451
2007,5.0140659340659335,12.03815028901734
2008,5.007087912087912,12.176300578034683
2009,4.889230769230769,12.310982658959539
2010,4.9436263736263735,12.446820809248557
2011,4.871648351648352,12.604624277456647
2012,4.138186813186813,12.7242774566474
2013,3.924450261780105,12.688333333333334
2014,3.2713186813186814,12.88728323699422
2015,5.288333333333333,12.927167630057804
